# codeml m1 output parser
# PYTHON VERSION: 3.8.5
# Script call:    paml_to_csv.py -i ../../paml/mus-4spec-cmc/ -m cmc -d ../../data/mm10-genes.tab -o ../../paml/mus-4spec-cmc.csv
# Runtime:        11/17/2020 18:10:59
# ----------------
# IO OPTIONS
# Input directory:       ../../paml/mus-4spec-cmc/
# PAML model:            cmc
# Metadata file:         ../../data/mm10-genes.tab
# Output file:           ../../paml/mus-4spec-cmc.csv
# ----------------
# 11.17.2020 | 18:10:59 Reading metadata file: ../../data/mm10-genes.tab
# Features read:         55421
# ----------------
# 11.17.2020 | 18:11:00 Begin parsing PAML output...
file,id,chr,start,end,lnl,k,prop 1,prop 2,prop 3,background clade omega 1,background clade omega 2,background clade omega 3,target clade omega 1,target clade omega 2,target clade omega 3
ENSMUSG00000020872-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020872,11,95261529,95269265,-609.980582,3.54861,0.43692,0.00000,0.56308,0.00000,1.00000,0.65123,0.00000,1.00000,0.36042
ENSMUSG00000039194-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000039194,7,79374870,79387048,-1607.640026,2.89586,0.98971,0.00000,0.01029,0.02135,1.00000,0.00000,0.02135,1.00000,2.84575
ENSMUSG00000043448-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000043448,11,59175568,59183213,-2263.783682,5.67625,0.98516,0.00000,0.01484,0.03808,1.00000,0.00000,0.03808,1.00000,3.29131
ENSMUSG00000057092-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000057092,7,31068172,31076704,-470.771263,6.15540,0.91163,0.00000,0.08837,0.19000,1.00000,3.57084,0.19000,1.00000,0.00000
ENSMUSG00000075227-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000075227,19,6061192,6062472,-2046.622137,3.18535,0.64335,0.00000,0.35665,0.00000,1.00000,9.54117,0.00000,1.00000,0.60149
ENSMUSG00000044502-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000044502,11,31665181,31671885,-865.284166,2.60148,1.00000,0.00000,0.00000,0.04612,1.00000,0.00000,0.04612,1.00000,0.00000
ENSMUSG00000039760-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000039760,10,19621998,19634681,-1263.572245,3.67127,0.50062,0.39967,0.09970,0.00000,1.00000,4.54525,0.00000,1.00000,0.00000
ENSMUSG00000058743-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000058743,7,45816460,45824782,-2069.938114,4.86265,0.00000,0.00000,1.00000,0.00000,1.00000,999.00000,0.00000,1.00000,0.00000
ENSMUSG00000024513-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000024513,18,70568189,70626131,-2042.022394,2.67217,0.87831,0.09419,0.02750,0.00000,1.00000,1.72115,0.00000,1.00000,0.00000
ENSMUSG00000028527-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000028527,4,101419277,101466995,-1119.272406,2.40422,0.93581,0.03595,0.02824,0.00000,1.00000,0.00000,0.00000,1.00000,5.01079
ENSMUSG00000020328-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020328,11,40733667,40740046,-756.838994,3.29532,0.00000,0.00000,1.00000,0.00000,1.00000,0.02261,0.00000,1.00000,0.00000
ENSMUSG00000043385-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000043385,4,58782704,58787716,-1643.893017,3.88093,0.00000,0.03730,0.96270,0.00000,1.00000,0.09977,0.00000,1.00000,0.19484
ENSMUSG00000027552-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000027552,3,14578641,14606309,-1178.512066,2.94553,0.86004,0.00000,0.13996,0.14054,1.00000,0.40925,0.14054,1.00000,0.00000
ENSMUSG00000030188-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000030188,6,131284388,131293244,-729.548676,2.38074,0.00000,0.00000,1.00000,0.00000,1.00000,8.30404,0.00000,1.00000,0.00000
ENSMUSG00000037669-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000037669,12,8208107,8285759,-2084.643001,3.38599,0.96655,0.00000,0.03345,0.40330,1.00000,1.05977,0.40330,1.00000,7.98765
ENSMUSG00000038213-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000038213,6,125223933,125231860,-2455.433132,3.43472,0.79395,0.16237,0.04368,0.10950,1.00000,0.00000,0.10950,1.00000,4.46711
ENSMUSG00000004069-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000004069,16,4639989,4707695,-2050.481099,4.14615,0.87246,0.00000,0.12754,0.00000,1.00000,0.00000,0.00000,1.00000,0.68329
ENSMUSG00000030336-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000030336,6,125232622,125237010,-1313.839924,5.12371,0.19572,0.00000,0.80428,0.00000,1.00000,0.39862,0.00000,1.00000,0.82520
ENSMUSG00000027221-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000027221,2,92599707,92615250,-2082.238463,3.69186,0.77364,0.00000,0.22636,0.03090,1.00000,0.00000,0.03090,1.00000,0.05337
ENSMUSG00000058407-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000058407,1,37985189,37997893,-1135.887266,5.74119,1.00000,0.00000,0.00000,0.06961,1.00000,2.21624,0.06961,1.00000,0.45215
ENSMUSG00000028717-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000028717,4,115056426,115071755,-1643.048273,4.67473,0.00000,0.00000,1.00000,0.75098,1.00000,0.00000,0.75098,1.00000,0.19363
ENSMUSG00000038732-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000038732,13,30136489,30246717,-2648.769251,5.17731,0.81252,0.00000,0.18748,0.00000,1.00000,0.75572,0.00000,1.00000,1.32200
ENSMUSG00000048456-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000048456,19,12916661,12924419,-1743.319472,3.08688,0.80112,0.00000,0.19888,0.00000,1.00000,0.72859,0.00000,1.00000,0.49752
ENSMUSG00000035242-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000035242,10,80826656,80829290,-329.798287,4.94057,0.83506,0.00000,0.16494,0.00000,1.00000,0.32499,0.00000,1.00000,4.75178
ENSMUSG00000045312-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000045312,13,94057796,94195409,-1056.714976,14.81173,0.99274,0.00000,0.00726,0.06394,1.00000,0.00000,0.06394,1.00000,35.49986
ENSMUSG00000021156-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000021156,13,9684833,9765330,-1330.020376,2.05052,0.71484,0.03507,0.25009,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000040274-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000040274,5,3341485,3531008,-1691.856148,6.99858,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.14778
ENSMUSG00000047171-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000047171,8,46292039,46294671,-1277.412005,2.45908,0.14673,0.00000,0.85327,0.56752,1.00000,0.00000,0.56752,1.00000,0.00000
ENSMUSG00000091764-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000091764,8,69654479,69666982,-1839.477508,3.16091,0.69268,0.00000,0.30732,0.00000,1.00000,999.00000,0.00000,1.00000,0.26003
ENSMUSG00000049109-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000049109,10,28668360,28883818,-3451.087931,3.23963,0.81920,0.04897,0.13183,0.21682,1.00000,0.14638,0.21682,1.00000,0.00000
ENSMUSG00000095941-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000095941,8,110101207,110111961,-1833.125616,4.30610,0.00000,0.00000,1.00000,0.91589,1.00000,0.00000,0.91589,1.00000,0.24826
ENSMUSG00000060427-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000060427,8,69610857,69625548,-2308.451119,2.70042,0.94407,0.00000,0.05593,0.07161,1.00000,0.58841,0.07161,1.00000,2.70399
ENSMUSG00000035365-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000035365,10,88091432,88146941,-2873.781488,4.22674,0.80266,0.12767,0.06967,0.10105,1.00000,0.98290,0.10105,1.00000,0.10202
ENSMUSG00000037103-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000037103,8,84097072,84104768,-2896.766049,4.55902,0.96148,0.00000,0.03852,0.01131,1.00000,2.10926,0.01131,1.00000,0.51098
ENSMUSG00000036560-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000036560,7,31059342,31070935,-2794.273840,6.11400,0.00001,0.07493,0.92506,0.00000,1.00000,0.00000,0.00000,1.00000,0.03674
ENSMUSG00000108426-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000108426,13,65138089,65146047,-1711.464760,4.67198,0.75930,0.00000,0.24070,0.14653,1.00000,1.50257,0.14653,1.00000,2.67715
ENSMUSG00000062519-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000062519,6,47835661,47873537,-2449.870129,5.00400,0.00000,0.00000,1.00000,0.03466,1.00000,74.23492,0.03466,1.00000,0.06000
ENSMUSG00000019320-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000019320,17,24696234,24700529,-1447.557353,3.15300,0.00000,0.30271,0.69729,0.00000,1.00000,0.29466,0.00000,1.00000,0.00000
ENSMUSG00000020513-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020513,11,86544991,86567360,-2010.647258,3.19630,0.14396,0.12795,0.72809,0.16709,1.00000,554.86960,0.16709,1.00000,0.00000
ENSMUSG00000012520-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000012520,5,67094399,67099301,-1536.547032,2.46196,0.00000,0.00000,1.00000,0.00000,1.00000,0.02157,0.00000,1.00000,0.01295
ENSMUSG00000030917-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000030917,7,120102353,120120992,-883.306950,3.86335,0.92884,0.00000,0.07116,0.14180,1.00000,0.00000,0.14180,1.00000,7.94791
ENSMUSG00000068566-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000068566,7,3289080,3300442,-1740.415339,6.05766,0.96595,0.00000,0.03405,0.07074,1.00000,503.45016,0.07074,1.00000,4.77396
ENSMUSG00000059474-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000059474,11,93885852,93946985,-2845.717512,3.14908,0.00002,0.00000,0.99998,0.00000,1.00000,0.01751,0.00000,1.00000,0.00000
ENSMUSG00000004151-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000004151,12,38779380,38870484,-2193.793925,2.23279,1.00000,0.00000,0.00000,0.01380,1.00000,9.60120,0.01380,1.00000,0.00000
ENSMUSG00000057315-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000057315,5,102481391,102897937,-3212.515638,3.08335,0.99255,0.00745,0.00000,0.02409,1.00000,0.00000,0.02409,1.00000,15.34523
ENSMUSG00000002778-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000002778,7,45872772,45883732,-945.601489,4.06535,0.98464,0.00000,0.01536,0.00000,1.00000,82.13547,0.00000,1.00000,0.00000
ENSMUSG00000020988-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020988,12,69690433,69724873,-2687.568779,3.60649,0.78054,0.00000,0.21946,0.16993,1.00000,5.03834,0.16993,1.00000,0.00000
ENSMUSG00000049498-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000049498,19,12930840,12935752,-1692.881926,3.26472,0.86875,0.00000,0.13125,0.04534,1.00000,0.00000,0.04534,1.00000,1.36336
ENSMUSG00000018765-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000018765,11,69632990,69653297,-3276.279647,4.80981,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,1.00000,1.00000,0.04152
ENSMUSG00000001761-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000001761,6,29735503,29761365,-3786.567070,5.56777,0.00000,0.00000,1.00000,0.86417,1.00000,9.20373,0.86417,1.00000,0.04687
ENSMUSG00000028298-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000028298,4,34893779,34907370,-621.204620,2.79180,0.00000,0.00000,1.00000,0.00000,1.00000,0.16980,0.00000,1.00000,0.00000
ENSMUSG00000037300-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000037300,8,124671332,124721983,-3957.087219,3.04850,0.86677,0.00000,0.13323,0.02699,1.00000,265.58190,0.02699,1.00000,0.00000
ENSMUSG00000028759-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000028759,4,138216296,138244683,-3267.958709,1.54712,0.08452,0.10634,0.80914,0.76604,1.00000,0.00000,0.76604,1.00000,0.04924
ENSMUSG00000046999-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000046999,3,68869586,68872163,-1199.696215,4.69251,0.98391,0.00000,0.01609,0.02761,1.00000,0.00000,0.02761,1.00000,8.95998
ENSMUSG00000026387-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000026387,1,120006894,120063536,-2112.658177,5.40369,0.96354,0.00000,0.03646,0.16195,1.00000,0.00000,0.16195,1.00000,4.78422
ENSMUSG00000053801-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000053801,7,45825223,45830944,-2361.644695,4.15969,0.00008,0.00000,0.99992,0.10852,1.00000,0.72306,0.10852,1.00000,0.08945
ENSMUSG00000012889-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000012889,8,84125989,84132527,-3252.153823,5.09835,0.31875,0.06626,0.61499,0.47054,1.00000,0.00000,0.47054,1.00000,0.00000
ENSMUSG00000038663-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000038663,7,81533308,81566944,-4140.572077,4.50984,0.00003,0.15984,0.84013,0.00000,1.00000,0.04193,0.00000,1.00000,0.00000
ENSMUSG00000035557-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000035557,11,100256217,100261029,-2086.977735,4.54586,0.66163,0.00000,0.33837,0.00676,1.00000,84.78343,0.00676,1.00000,0.00000
ENSMUSG00000079562-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000079562,5,33335509,33373296,-1782.246039,10.68456,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000038059-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000038059,18,60474191,60501987,-325.482297,3.95842,0.00000,0.00000,1.00000,0.07902,1.00000,190.11725,0.07902,1.00000,0.08458
ENSMUSG00000044676-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000044676,8,110079746,110092741,-3657.466808,3.46509,0.51569,0.00000,0.48431,0.17323,1.00000,2.60685,0.17323,1.00000,0.00000
ENSMUSG00000002409-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000002409,7,28179469,28187294,-2941.391298,4.70691,0.00000,0.00000,1.00000,0.80879,1.00000,1.24680,0.80879,1.00000,0.03589
ENSMUSG00000055053-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000055053,10,81396186,81455635,-2086.027268,8.75466,0.00000,0.00000,1.00000,0.03427,1.00000,0.00000,0.03427,1.00000,0.02105
ENSMUSG00000041773-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000041773,13,97241105,97253034,-2971.550293,3.53820,0.99805,0.00000,0.00195,0.00000,1.00000,999.00000,0.00000,1.00000,0.00000
ENSMUSG00000050777-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000050777,1,120067377,120074074,-1138.778704,3.91563,0.00000,0.20031,0.79969,0.00000,1.00000,0.00000,0.00000,1.00000,0.09491
ENSMUSG00000026385-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000026385,1,120113280,120121078,-414.781699,0.98829,0.81043,0.00000,0.18957,0.00000,1.00000,50.74945,0.00000,1.00000,0.59428
ENSMUSG00000024663-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000024663,19,10001669,10038380,-1557.958367,3.43286,0.90674,0.05690,0.03636,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000041886-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000041886,12,119314270,119469987,-4653.467356,4.72717,0.53280,0.10344,0.36376,0.26394,1.00000,0.70316,0.26394,1.00000,0.00000
ENSMUSG00000078453-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000078453,10,18011260,18023288,-405.283846,999.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.16661
ENSMUSG00000024313-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000024313,18,21061923,21100199,-4124.055371,3.84946,0.53959,0.25983,0.20058,0.03424,1.00000,0.05633,0.03424,1.00000,0.00000
ENSMUSG00000030468-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000030468,7,43408204,43418358,-3176.800044,3.43581,0.14824,0.36018,0.49158,0.00000,1.00000,22.04551,0.00000,1.00000,0.00000
ENSMUSG00000070883-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000070883,2,69758033,69789575,-3028.648173,2.48414,0.80647,0.00000,0.19353,0.15397,1.00000,999.00000,0.15397,1.00000,1.05181
ENSMUSG00000037720-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000037720,5,67260565,67291461,-1226.460077,3.42842,0.00000,0.00000,1.00000,0.00000,1.00000,0.02697,0.00000,1.00000,0.00000
ENSMUSG00000039046-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000039046,2,6322667,6446390,-4701.618105,3.30911,0.34813,0.00000,0.65187,0.42374,1.00000,0.05191,0.42374,1.00000,0.00000
ENSMUSG00000019861-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000019861,10,52335850,52382124,-1572.908107,2.79572,0.95604,0.00000,0.04396,0.00000,1.00000,999.00000,0.00000,1.00000,0.28691
ENSMUSG00000070815-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000070815,7,13130904,13140157,-1691.821889,3.46096,0.59464,0.00000,0.40536,0.00000,1.00000,1.46207,0.00000,1.00000,1.13083
ENSMUSG00000053654-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000053654,11,100262882,100269871,-2367.472390,5.61825,0.81436,0.00000,0.18564,0.00000,1.00000,0.00000,0.00000,1.00000,0.39195
ENSMUSG00000029599-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000029599,5,120612739,120628592,-4668.601815,5.85905,0.96997,0.02025,0.00978,0.05567,1.00000,0.00000,0.05567,1.00000,9.03393
ENSMUSG00000053094-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000053094,5,130217081,130243765,-1508.795134,9.36862,0.94055,0.00000,0.05945,0.04253,1.00000,0.00000,0.04253,1.00000,0.14150
ENSMUSG00000040653-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000040653,10,3366057,3464975,-888.529863,4.48841,0.65200,0.12974,0.21827,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000054702-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000054702,1,79606876,79671972,-719.023269,1.08881,0.00000,0.00000,1.00000,0.00000,1.00000,999.00000,0.00000,1.00000,0.00000
ENSMUSG00000044167-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000044167,3,52268336,52353221,-3248.835727,4.33535,0.00000,0.00000,1.00000,0.58678,1.00000,996.35354,0.58678,1.00000,0.03890
ENSMUSG00000046913-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000046913,19,12995014,13000417,-1716.633341,3.98876,0.73677,0.20573,0.05750,0.03331,1.00000,1.10674,0.03331,1.00000,0.00000
ENSMUSG00000034353-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000034353,1,91179822,91225196,-849.588449,5.09549,0.86488,0.12612,0.00900,0.03995,1.00000,0.00000,0.03995,1.00000,10.20413
ENSMUSG00000019254-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000019254,7,4481520,4501680,-4036.023479,3.66236,0.67853,0.14210,0.17937,0.00000,1.00000,0.27813,0.00000,1.00000,0.00000
ENSMUSG00000093980-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000093980,7,108346035,108346979,-1829.068220,2.37482,0.79595,0.17353,0.03052,0.01156,1.00000,999.00000,0.01156,1.00000,0.00000
ENSMUSG00000041199-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000041199,17,25727670,25731464,-997.493889,4.31509,0.17811,0.03307,0.78883,0.29248,1.00000,0.00000,0.29248,1.00000,0.10592
ENSMUSG00000026234-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000026234,1,86344719,86359400,-3604.872008,1.90597,0.93322,0.00000,0.06678,0.10015,1.00000,0.92399,0.10015,1.00000,1.83726
ENSMUSG00000037415-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000037415,8,105768308,105827350,-3072.926200,4.71418,0.47471,0.02994,0.49535,0.02627,1.00000,999.00000,0.02627,1.00000,0.00000
ENSMUSG00000031490-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000031490,8,27260329,27276674,-592.517668,7.42657,0.82707,0.00000,0.17293,0.07109,1.00000,0.00000,0.07109,1.00000,0.15279
ENSMUSG00000020366-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020366,11,49846751,49886421,-1847.791467,4.07920,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.02148
ENSMUSG00000034201-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000034201,11,5054132,5065327,-1769.340480,7.67368,0.19359,0.00000,0.80641,0.47628,1.00000,103.94200,0.47628,1.00000,0.00000
